country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality
Croatia,2012,6.027634621,9.912589073,0.775817871,67.06228638,0.541909754,-0.248342052,0.923860013,0.621574581,0.271040529,0.311118603,0.538579464
Croatia,2013,5.885462761,9.904678345,0.751262069,67.23877716,0.626699686,-0.209493563,0.936059833,0.58999753,0.284729958,0.257140577,0.542883515
Croatia,2014,5.380692482,9.905140877,0.645697773,67.41526031,0.518878043,0.126663536,0.917735159,0.59617871,0.285895109,0.15500845,0.545834541
Cyprus,2006,6.237958431,10.44953728,0.878201067,71.04259491,0.836101174,0.004957342,0.712468922,0.82941252,0.253212214,0.664813399,0.784230888
Cyprus,2009,6.833477497,10.43899822,0.811736107,71.47270966,0.774590671,0.041358635,0.801423609,0.746213078,0.329307944,0.563541174,0.728587091
Cyprus,2010,6.386546135,10.42665577,0.822123706,71.63736725,0.755362809,0.060105376,0.833427012,0.786111474,0.295705855,0.452459902,0.733421683
Cyprus,2011,6.689608574,10.40375137,0.843654513,71.80843353,0.745468855,0.167482302,0.840676486,0.763074279,0.272299588,0.399997503,0.825841069
Cyprus,2012,6.180507183,10.36437988,0.767177105,71.98058319,0.724629581,0.085420452,0.870691717,0.755316854,0.368632913,0.3364124,0.811333656
Cyprus,2013,5.438952446,10.31164932,0.744032085,72.14980316,0.656267941,0.088784099,0.867310464,0.747811615,0.420258701,0.274080217,0.757939279
Cyprus,2014,5.627123833,10.29799938,0.770175993,72.3190155,0.715065658,0.047196407,0.868237555,0.737284124,0.397172987,0.244740322,0.861517787
Czech Republic,2007,6.500194073,10.26099586,0.899779022,67.8715744,0.798949361,-0.070955783,0.927871466,0.736433983,0.276907444,0.268838406,0.971860528
Czech Republic,2010,6.249617577,10.24390125,0.934161127,68.49080658,0.77911222,-0.049199175,0.925964117,0.641369283,0.244084343,0.334044516,0.98019886
Czech Republic,2011,6.331490993,10.26130962,0.91351074,68.88780212,0.787180007,-0.114117831,0.949787855,0.600925982,0.252808869,0.206286699,1.052590847
Czech Republic,2012,6.334149361,10.25086594,0.91242677,69.0668869,0.739808738,-0.161259785,0.956799686,0.609040797,0.256508142,0.169811338,0.992464304
Czech Republic,2013,6.697655678,10.24523926,0.888043344,69.24596405,0.725945652,-0.16315046,0.91589886,0.719957829,0.252652615,0.242542624,1.004958749
Czech Republic,2014,6.483729839,10.26517963,0.877915204,69.42504883,0.800421,-0.175116628,0.896880686,0.678406954,0.235220566,0.339732826,0.99729073
Denmark,2007,7.834233284,10.72786713,0.954201102,68.42073059,0.932086229,0.228044614,0.206005678,0.827859938,0.194323689,0.592505932,1.316372633
Denmark,2008,7.970891953,10.71478558,0.953911722,68.64054871,0.969788373,0.2603558,0.247505307,0.756865501,0.163090929,0.665933907,1.323909163
Denmark,2009,7.683358669,10.65721607,0.93889159,68.7728653,0.949335575,0.252396673,0.205769762,0.74894917,0.233584777,0.626578152,1.272108436
Denmark,2010,7.770515442,10.66889477,0.974977076,69.21250153,0.943630815,0.231371686,0.174896091,0.784826636,0.154562935,0.586689413,1.306402326
Denmark,2011,7.78823185,10.67623234,0.961736143,69.82499695,0.934760153,0.286534339,0.220043078,0.769436002,0.174883381,0.471823335,1.349275589
Denmark,2012,7.519909382,10.66589642,0.951437175,70.04481506,0.932627916,0.128473848,0.187407613,0.773763597,0.208569512,0.534252763,1.298875451
Denmark,2013,7.588606834,10.65685272,0.964707971,70.26463318,0.920254648,0.205585897,0.170042172,0.862346828,0.194673792,0.391405106,1.315739274
Denmark,2014,7.507559299,10.66330051,0.956344306,70.48445129,0.941572249,0.109105863,0.237218335,0.832482934,0.232612774,0.457836896,1.245887995
Estonia,2006,5.371054649,10.11238956,0.91006434,63.25101471,0.748576343,-0.271537572,0.796722651,0.6545313,0.215225026,0.44246769,0.881576538
Estonia,2007,5.332044125,10.19157887,0.895631552,63.35818863,0.712120891,-0.254241645,0.742697179,0.665569842,0.176231012,0.420264125,0.82984817
Estonia,2008,5.451937675,10.13854122,0.90372628,64.19011688,0.642325103,-0.225186244,0.662769675,0.597254455,0.217813089,0.33097899,0.807200909
Estonia,2009,5.137738705,9.981186867,0.873774767,65.10694122,0.61070931,-0.236077264,0.793151677,0.597613275,0.243074834,0.224486127,0.805257499
Estonia,2011,5.486819744,10.08392715,0.908712626,66.32936096,0.735225379,-0.175161451,0.68678391,0.651386082,0.205158427,0.417540222,0.852252603
Estonia,2012,5.363927841,10.13803387,0.889454544,66.41425323,0.696825743,-0.200658888,0.7928527,0.647360325,0.198966742,0.272975951,0.84367466
Estonia,2013,5.367445946,10.15714931,0.900721788,66.49914551,0.753558695,-0.209941283,0.726356387,0.702255547,0.199018165,0.260637581,0.911051869
Estonia,2014,5.55598259,10.18910694,0.917101741,66.58403778,0.773327112,-0.162355125,0.652447462,0.680430651,0.203439116,0.414985895,0.96425277
Finland,2006,7.672449112,10.59951496,0.964562833,69.43505096,0.968580484,-0.016778633,0.132430181,0.721504807,0.172133937,0.757926285,1.522369981
Finland,2008,7.67062664,10.6483345,0.9513399,69.74504852,0.934178948,0.015177811,0.216567531,0.772777677,0.143538713,0.723243475,1.478940248
